Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
00:00:00:09.166,68,0.0,0.0,0.0,0.0,0.0,0.03376567218098625,0.013559170067310333,0.0,0.0,0.0,0.0,0.0,0.03388151960829315,0.013618463650345802,0.00835991801852106,0.00046536885201931,0.006999996805144282,0.0002157208655262366,0.0003233054594602436,5.9011541452491656e-05,0.023457126691937447,0.0019180275266990066,0.0008772537112236023,0.15654653310775757,0.14166435599327087,0.013290325400264641,0.015897163354227636,0.007201020605862141,0.00792662426829338,0.008913834556091625,0.01537152664815879,0.027103792525899964,0.0031640383552403975,0.05878082885131035,0.029226537506807707,0.0167623879520895,0.01672898419201374,0.00576060556338283,0.00990110210641695,0.003037865123556638,0.0026946666471297787,0.07727517932653427,0.07720285654067993,0.09873295125197815,0.03708412915675286,0.03715612433696616,0.010271740145981312,0.04599366337060928,0.05288170278072357,0.01602393575012684,0.018744198605418205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6511943340301514,1.1618281602859497,1.743096113204956,0.7449178099632263,7.896729469299316,5.771276473999023,5.920240879058838
00:00:00:10.183,68,0.0,0.0,0.0,0.0,0.0,0.0331288602830954,0.012474927119910717,0.0,0.0,0.0,0.0,0.0,0.03324455318368736,0.012540432624518871,0.00829671549623928,0.0004836615116801113,0.006908084743603964,0.00017411980661563575,0.00032330307294614613,4.4355951104080305e-05,0.023454895243048668,0.002048753434792161,0.0008365276735275984,0.15681371092796326,0.1417693942785263,0.013485244558205205,0.01606354377969166,0.007117478176951408,0.007845448330044746,0.009016186466244197,0.01556187372620688,0.027135991870646668,0.003164447974649639,0.058828330978990324,0.029290882087253608,0.016734933171799124,0.016706309158693772,0.00541827872559197,0.00951842950628623,0.0029877003380803587,0.00260700174987886,0.07587745040655136,0.07579586654901505,0.0979504018989447,0.03638952452442479,0.036462350095793676,0.010262633673846722,0.0458407960832119,0.05265973135828972,0.01585221104323864,0.018595904111862183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6694170236587524,1.1948496103286743,1.7159839868545532,0.7397697567939758,8.138340950012207,5.615665435791016,5.817604064941406
00:00:00:12.200,68,0.0,0.0,0.0,0.0,0.0,0.032294994387054826,0.009990796446800232,0.0,0.0,0.0,0.0,0.0,0.032404823816840136,0.0100494883954525,0.008281763670864735,0.0004824897041544318,0.0068951465346323015,0.00019632253679446876,0.00029151950730010867,7.37470036256127e-05,0.02321028523147106,0.002130666980519891,0.0008485516882501543,0.15703390538692474,0.1417360156774521,0.013817223651343658,0.016372085771819266,0.007097271736711264,0.007824202999472618,0.008825723249989106,0.01548243402972547,0.02723560870033726,0.003191652893230176,0.05923929695895378,0.029494315916099318,0.016696225568404006,0.016674727831699678,0.004826773785647193,0.008840634239316244,0.0028633813519648266,0.0025619446804025126,0.07364057004451752,0.07357019186019897,0.09791402966663712,0.03606598850805663,0.036140594100879685,0.010321669280529022,0.045900918543338776,0.05259637534618378,0.015727471560239792,0.018467511981725693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6679542064666748,1.2115176916122437,1.704092025756836,0.7441964745521545,8.043359756469727,5.715449333190918,5.808008670806885
00:00:00:13.216,68,0.0,0.0,0.0,0.0,0.0,0.031472129272436145,0.007774357218295336,0.0,0.0,0.0,0.0,0.0,0.03158516026000275,0.007827576249837875,0.008286471728153038,0.0004610944597516209,0.006989183309884357,0.00023037944629322737,0.0002970746427308768,9.69108168646926e-06,0.024010328575968742,0.002003702335059643,0.0008310899138450623,0.15714941918849945,0.141997829079628,0.014198853698650342,0.016687925386841957,0.007199232000857592,0.007947414182126522,0.008657724272992015,0.01548432211690436,0.0273695616290501,0.003219579260437732,0.05970493092365898,0.02972341439058277,0.016712629993141746,0.016678386861342393,0.004356378119104061,0.008653868656229469,0.0028382978250851535,0.0025076874003676797,0.0704893171787262,0.0704297423362732,0.09854802192890502,0.03573506745492543,0.03581374604753496,0.010372600518167019,0.04568646475672722,0.05243510752916336,0.015503632836043835,0.018233006820082664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6409189701080322,1.1318484544754028,1.737854242324829,0.7414504289627075,7.978188991546631,5.800143718719482,5.853890895843506
00:00:00:14.233,68,0.0,0.0,0.0,0.0,0.0,0.030451084323554343,0.006712409667670727,0.0,0.0,0.0,0.0,0.0,0.03056765751670784,0.006765023339539766,0.008308022488998203,0.0004780487797688693,0.006866078713420114,0.00017613638192415237,0.0002939597179647535,3.589626430766657e-05,0.02462850883603096,0.0021755544003099203,0.0008057174272835255,0.1571950763463974,0.14195133745670319,0.014517976930633636,0.01699617464965389,0.00707223592326045,0.0077934651635587215,0.008484127301714557,0.015263523104161292,0.027375820824732323,0.0032245380055037783,0.06021859252589226,0.0299917379597044,0.016723741511465377,0.016686838666069414,0.0038101871876389266,0.007970156481850777,0.0028388218526289367,0.0024754884362975216,0.066834457218647,0.06677954643964767,0.09922983348682007,0.035724234888599014,0.03580064691072079,0.010505114682018757,0.045694220811128616,0.05237618461251259,0.015165147371590137,0.01780889369547367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6844233274459839,1.1957746744155884,1.7354168891906738,0.7452301979064941,7.672101974487305,5.860692024230957,5.991291522979736
00:00:00:14.250,68,0.0,0.0,0.0,0.0,0.0,0.029376727194566115,0.0057125515304505825,0.0,0.0,0.0,0.0,0.0,0.029486642235243568,0.005752772092819214,0.008329281369279346,0.0004737402778118849,0.006842627939840317,0.00018845204613171518,0.00027212416171096265,3.711041063070297e-05,0.024973291903734207,0.002179656410589814,0.0007638207171112299,0.15693460404872894,0.1416253000497818,0.014894930777048693,0.017365502062574537,0.007146263495087624,0.00786933396011591,0.008300167198022094,0.014942725841368265,0.027463011596681252,0.0032176432613805913,0.06063206696096993,0.030136496873607102,0.016709552115911255,0.016667204993327675,0.0032131792072052096,0.0072803546590219925,0.002772488267987261,0.00238305505782887,0.06295411288738251,0.06291548162698746,0.09964863660446137,0.035876059342288345,0.035954483522660785,0.010564280673861504,0.04562746360898018,0.05206985026597977,0.014845370315015316,0.017371242865920067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.661454439163208,1.1788108348846436,1.7376682758331299,0.7454933524131775,7.748785018920898,5.858295917510986,5.966372013092041
00:00:00:16.266,68,0.0,0.0,0.0,0.0,0.0,0.028506337118450013,0.005712134297937155,0.0,0.0,0.0,0.0,0.0,0.028621109305675164,0.005749185103923082,0.008285550949204312,0.00046762070269323885,0.006765918224585762,0.00018032568914350122,0.0002939299156423658,-4.723314123111777e-05,0.026009060442447662,0.0021504154428839684,0.0007162317633628845,0.1563488245010376,0.1412605345249176,0.015319053577916533,0.0177705615431043,0.007111310958862305,0.007849876768887043,0.008247468409557892,0.014849786656772938,0.02748383281571995,0.0031920676112187673,0.060667973208688275,0.030131364482319907,0.01661720437396145,0.016580045365864753,0.002917727800571649,0.00707277443930574,0.0027529377431072663,0.002321153769384093,0.059492480009794235,0.059456244111061096,0.10005904433760865,0.035656318413897777,0.035736070074205234,0.010602155700325966,0.04512183368206024,0.05161968246102333,0.014259499497711658,0.01672116480767727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6436678171157837,1.1257238388061523,1.7490994930267334,0.7442751526832581,7.903303146362305,5.838510513305664,5.884249210357666
00:00:00:16.283,68,0.0,0.0,0.0,0.0,0.0,0.027748308732227632,0.005508290138095617,0.0,0.0,0.0,0.0,0.0,0.027858826283608053,0.005544775631278753,0.00831951602524581,0.0004899578634649515,0.006551609149174652,0.00015312377945519984,0.00028258239035494626,2.562962436059024e-06,0.02618292346596718,0.002322918502613902,0.0007088115671649575,0.15605607628822327,0.1407284140586853,0.0155225267981389,0.017980908044871742,0.007005339954048395,0.0077072191052138805,0.008568266679193946,0.015051005055885816,0.027608555902638283,0.0032061542442884923,0.060638953539763334,0.03007433770888653,0.016630220389305457,0.016581195531548843,0.0028950336137528515,0.006792236247872972,0.002718967726150317,0.0022300569470340825,0.05715324729681015,0.057118143886327744,0.10018069146888306,0.03570800500495793,0.035786391802742734,0.010594931431114674,0.045025184750556946,0.05125338211655617,0.014039074070751667,0.01628517545759678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6862980127334595,1.202622890472412,1.745970606803894,0.749279797077179,7.800387382507324,5.761765956878662,5.95265531539917
00:00:00:18.300,68,0.0,0.0,0.0,0.0,0.0,0.027151285771676675,0.003943328745663166,0.0,0.0,0.0,0.0,0.0,0.027258383651723558,0.003978160209953785,0.008411066438743363,0.0004849864053539932,0.006589854097701797,0.00020044881966896355,0.0002731278946157545,-3.8679874705849215e-05,0.026304494589567184,0.0022455493453890085,0.0006986597436480224,0.15519002079963684,0.14015257358551025,0.015596603192823834,0.01806211048516784,0.007141357287764549,0.00788544025272131,0.008659745813197846,0.015035214767205233,0.027689298965933952,0.0032262617387048436,0.06071516030920693,0.030052281287192457,0.016691278782892113,0.01665985026122074,0.0030086114422659092,0.0070472859512678955,0.002670479982203207,0.0021767882639144374,0.055707041174173355,0.055675726383924484,0.10029082301526918,0.03608782023869823,0.03616754134709883,0.010725769214332104,0.04466855898499489,0.05089941620826721,0.01355051714926958,0.015855418518185616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6468017101287842,1.163025140762329,1.770436406135559,0.750045895576477,8.010053634643555,5.713043689727783,5.846712589263916
00:00:00:18.316,68,0.0,0.0,0.0,0.0,0.0,0.026626669952227594,0.00284734764136374,0.0,0.0,0.0,0.0,0.0,0.026741248788356476,0.0028773918747901917,0.008356295575331288,0.0004969084984622896,0.006472358868858781,0.00018575493595562875,0.00027212416171096265,-0.00013225738075561821,0.02658654749393463,0.002337412443011999,0.0006438824348151684,0.15425771474838257,0.13937845826148987,0.01582951131908143,0.018309076969684698,0.006948403082787991,0.00765719311311841,0.009092688135150448,0.015208465532854147,0.02770184349978653,0.003187272829562578,0.060550040977217105,0.02991396157956753,0.016673279687333755,0.01665139056360668,0.003495950214430728,0.007480361108703099,0.0025850280456242085,0.0020891184563150023,0.05527689307928085,0.05525711551308632,0.10062866657114425,0.036295694970702494,0.03637258672245141,0.010790440253913403,0.04427022859454155,0.05052448436617851,0.012951149605214596,0.015165813267230988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.683578610420227,1.1749690771102905,1.7657289505004883,0.7510703802108765,7.989437103271484,5.677496433258057,5.859405994415283
